et	155	161	153	0.194031	68	75	47	pA_B
puis	172	180	152	0.35497999999999996	61	66	56	pA_I
euh	142	169	126	0.5159890000000001	64	70	54	pA_L
alors	104	107	99	0.3170099999999998	58	63	48	pA_B
oui	133	150	106	0.31799	59	65	50	pA_I
euh	128	224	112	0.81799	59	70	47	pA_I
voilà	122	131	116	0.1989799999999997	59	64	50	pA_L
après	198	203	189	0.3060300000000007	65	72	58	pA_B
y	173	203	155	0.0609699999999993	69	72	66	pA_I
a	152	155	150	0.0609800000000007	70	72	68	pA_I
des	148	151	143	0.125	68	73	60	pA_I
questions	160	178	144	0.5100099999999994	64	70	54	pA_I
on	NA	NA	NA	0.07702000000000009	54	54	53	pA_I
va	131	133	128	0.1170100000000005	63	67	57	pA_I
dire	129	143	104	0.3949499999999997	64	70	52	pA_I
euh	113	125	110	0.3120099999999999	60	66	48	pA_I
de	128	138	110	0.125	68	70	63	pA_I
fond	163	239	102	0.4169900000000002	63	67	53	pA_I
y	134	140	130	0.1960499999999996	61	64	53	pA_I
compris	152	176	142	0.2479899999999997	63	69	56	pA_I
des	138	151	124	0.08496000000000059	66	67	64	pA_I
questions	134	157	112	0.2860100000000001	63	68	57	pA_I
qui	145	153	126	0.1899999999999995	60	66	55	pA_I
posent	142	154	130	0.2000099999999998	64	70	54	pA_I
la	142	245	118	0.08002000000000109	65	67	62	pA_I
question	158	243	144	0.2899799999999999	60	68	53	pA_I
de	136	144	127	0.08000999999999969	67	70	64	pA_I
la	184	247	118	0.07995999999999981	65	69	60	pA_I
compatibilité	134	232	119	0.629999999999999	61	68	55	pA_I
des	120	124	118	0.08002000000000109	67	69	66	pA_I
approches	127	144	109	0.6199999999999992	61	68	51	pA_I
ou	116	118	113	0.09002000000000088	58	60	55	pA_I
des	115	119	110	0.10998999999999981	60	61	59	pA_I
choses	119	127	113	0.27999999999999936	57	61	53	pA_I
comme	114	118	112	0.13000000000000078	60	64	55	pA_I
ça	183	197	154	0.23000000000000043	64	70	53	pA_I
qui	121	130	113	0.11999999999999922	56	62	49	pA_I
sont	163	176	112	0.41000000000000014	59	68	51	pA_I
euh	131	138	126	0.33000000000000007	62	66	49	pA_I
des	121	127	118	0.09999999999999965	60	63	57	pA_I
choses	140	158	113	0.2400000000000002	63	69	55	pA_I
par	130	158	112	0.1399999999999988	63	66	59	pA_I
exemple	140	147	124	0.13000000000000078	62	67	56	pA_I
sur	129	142	116	0.11999999999999922	62	67	56	pA_I
les	117	120	115	0.09000000000000163	69	71	67	pA_I
unités	119	161	111	0.5699999999999985	64	73	52	pA_I
tout	NA	NA	NA	0.05999999999999872	49	52	46	pA_I
simplement	101	123	80	0.5400000000000009	57	63	50	pA_I
quelles	115	135	105	0.21000000000000085	57	63	46	pA_I
unités	137	172	111	0.5800000000000001	61	72	46	pA_I
euh	122	138	116	0.6600000000000001	60	66	49	pA_I
est	140	145	137	0.15000000000000213	57	62	54	pA_I
ce	NA	NA	NA	0.09999999999999787	55	57	51	pA_I
que	129	138	121	0.10999999999999943	57	64	48	pA_I
ces	128	137	120	0.15000000000000213	59	64	56	pA_I
unités	123	144	110	0.379999999999999	64	69	56	pA_I
sont	121	138	102	0.21000000000000085	59	63	54	pA_I
un	102	103	100	0.09999999999999787	60	61	58	pA_I
statut	125	128	123	0.25	54	58	51	pA_I
sémantique	121	139	113	0.4299999999999997	59	65	53	pA_I
ou	145	149	141	0.10000000000000142	61	65	55	pA_I
pas	173	177	169	0.14000000000000057	66	69	56	pA_I
y	160	173	140	0.05000000000000071	68	69	67	pA_I
a	135	140	133	0.07000000000000028	66	68	64	pA_I
des	109	111	105	0.10999999999999943	62	63	60	pA_I
morphologues	119	130	106	0.4599999999999973	59	66	53	pA_I
qui	NA	NA	NA	0.13000000000000256	52	55	48	pA_I
défendent	122	134	105	0.35999999999999943	58	62	52	pA_I
l'	114	128	102	0.3200000000000003	63	68	57	pA_I
idée	114	128	102	0.3200000000000003	63	68	57	pA_I
que	106	108	103	0.28000000000000114	58	65	50	pA_I
y	125	127	121	0.05000000000000071	57	62	53	pA_I
a	116	123	113	0.060000000000002274	61	62	60	pA_I
pas	115	118	113	0.129999999999999	60	63	55	pA_I
de	115	115	114	0.05999999999999872	56	60	54	pA_I
signe	128	136	117	0.19000000000000128	59	66	52	pA_I
saussurien	140	159	114	0.7699999999999996	62	66	53	pA_I
que	125	292	110	0.8599999999999994	61	65	53	pA_I
y	259	278	238	0.129999999999999	66	68	64	pA_I
a	300	313	283	0.14000000000000057	58	63	55	pA_I
pas	186	298	115	0.14000000000000057	63	64	60	pA_I
de	121	224	77	0.5500000000000007	62	69	55	pA_I
les	NA	NA	NA	0.09999999999999787	54	56	52	pA_I
affixes	164	221	94	0.28000000000000114	55	62	50	pA_I
ont	125	132	118	0.10999999999999943	58	62	53	pA_I
pas	142	143	139	0.10000000000000142	67	71	61	pA_I
de	139	141	137	0.05000000000000071	62	64	60	pA_I
sens	143	151	108	0.509999999999998	59	67	51	pA_I
euh	109	110	108	0.21000000000000085	57	60	55	pA_I
ou	116	122	108	0.10999999999999943	61	65	57	pA_I
alors	118	124	114	0.28000000000000114	61	68	50	pA_I
au	122	127	115	0.08999999999999986	57	61	46	pA_I
contraire	122	138	114	0.370000000000001	62	67	54	pA_I
est	116	117	115	0.05999999999999872	64	65	63	pA_I
ce	116	117	115	0.08000000000000185	57	62	52	pA_I
qu'	121	122	118	0.08999999999999986	56	63	51	pA_I
il	121	122	118	0.08999999999999986	56	63	51	pA_I
y	115	118	112	0.03999999999999915	62	62	61	pA_I
a	110	112	109	0.05000000000000071	62	63	61	pA_I
de	109	110	107	0.05999999999999872	59	61	57	pA_I
la	104	107	101	0.08999999999999986	60	64	55	pA_I
polysémie	141	161	120	0.6099999999999994	63	70	54	pA_I
et	105	106	104	0.13999999999999702	57	64	47	pA_I
dans	107	110	104	0.14000000000000057	59	61	56	pA_I
ces	NA	NA	NA	0.14000000000000057	55	57	52	pA_I
cas	104	104	103	0.10999999999999943	56	61	51	pA_I
là	108	113	103	0.1700000000000017	61	63	57	pA_I
ben	96	97	95	0.14000000000000057	56	59	53	pA_I
comment	117	123	115	0.2099999999999973	61	67	51	pA_I
on	111	116	106	0.10000000000000142	61	64	54	pA_I
traite	118	126	105	0.28999999999999915	57	65	50	pA_I
euh	103	105	100	0.120000000000001	60	61	58	pA_I
la	100	101	98	0.10999999999999943	55	58	51	pA_I
polysémie	120	131	107	0.5199999999999996	60	66	51	pA_I
est	113	121	106	0.08000000000000185	64	65	63	pA_I
ce	108	109	108	0.09999999999999787	56	64	50	pA_I
que	NA	NA	NA	0.07000000000000028	53	55	50	pA_I
c'	110	115	107	0.1999999999999993	56	61	52	pA_I
est	110	115	107	0.1999999999999993	56	61	52	pA_I
dans	107	108	105	0.09000000000000341	60	62	58	pA_I
le	104	105	104	0.06999999999999673	56	61	50	pA_I
cadre	118	122	113	0.1700000000000017	55	59	49	pA_I
d'	107	109	105	0.25	59	66	49	pA_I
une	107	109	105	0.25	59	66	49	pA_I
sémantique	117	131	108	0.46999999999999886	57	65	46	pA_I
générale	111	116	106	0.38000000000000256	60	64	54	pA_I
ou	108	115	105	0.10999999999999943	57	63	51	pA_I
pas	141	151	136	0.3299999999999983	62	71	50	pA_L
après	135	148	115	0.38000000000000256	62	71	46	pA_B
euh	117	138	107	0.4298999999999964	61	67	47	pA_I
toujours	132	143	121	0.3301000000000016	62	70	47	pA_I
dans	120	121	117	0.07000000000000028	68	69	67	pA_I
les	117	121	113	0.04999999999999716	64	67	62	pA_I
questions	124	145	110	0.3100000000000023	60	64	54	pA_I
on	112	115	111	0.060000000000002274	65	67	63	pA_I
va	109	112	107	0.07000000000000028	64	65	63	pA_I
dire	113	124	106	0.259999999999998	61	67	53	pA_I
relativement	118	124	112	0.5900999999999996	59	66	48	pA_I
